Name,Type,Content
disney.com,A,199.181.132.249
api.disney.com,A,96.45.49.200
app.disney.com,A,208.218.3.17
apps.disney.com,A,199.181.132.250
archive.disney.com,A,198.105.199.57
archives.disney.com,A,199.181.132.250
data.disney.com,A,10.190.71.248
feeds.disney.com,A,198.105.197.192
home.disney.com,A,199.181.132.250
huey11.disney.com,A,192.195.66.12
huey.disney.com,A,204.128.192.10
localhost.disney.com,A,127.0.0.1
louie.disney.com,A,204.128.192.30
mail2.disney.com,A,204.128.192.16
mail.disney.com,A,204.128.192.15
m.disney.com,A,199.181.132.250
mx1.disney.com,A,192.195.66.26
mx1.disney.com,A,204.128.192.17
mx2.disney.com,A,192.195.66.28
mx2.disney.com,A,204.128.192.36
services.disney.com,A,204.202.143.170
services.disney.com,A,204.202.143.171
webcache.disney.com,A,204.128.192.55
webcast.disney.com,A,207.177.177.41
www1.disney.com,A,199.181.132.250
www2.disney.com,A,199.181.132.250
code.disney.com,CNAME,matterhorn.disney.com
help.disney.com,CNAME,help.disney.com.00di0000000dwy9eai.live.siteforce.com
matterhorn.disney.com,CNAME,matterhorn.edgesuite.net
news.disney.com,CNAME,louie.disney.com
ns1.disney.com,CNAME,huey.disney.com
ns2.disney.com,CNAME,huey11.disney.com
ns.disney.com,CNAME,huey.disney.com
support.disney.com,CNAME,matterhorn.disney.com
video.disney.com,CNAME,matterhorn.disney.com
www.disney.com,CNAME,disney.com
disney.com,MX,cluster6a.us.messagelabs.com
disney.com,MX,cluster6.us.messagelabs.com
_xmpp-server._tcp.disney.com,SRV,0	5269	xmpp.disney.com
disney.com,TXT,MS=ms33999579
disney.com,TXT,NPDN6e50Sn3r5H6cs+y5zUw+bFbBu9BMeBRo8whYYHJXvU43YAz+BLxj0yVT1KJQhnbrG6ix57LzdcQry6eYyQ==
disney.com,TXT,v=spf1 mx ip4:204.128.192.17 ip4:204.128.192.36 ip4:204.128.192.43 ip4:192.195.66.26 ip4:192.195.66.28 ip4:192.195.66.36 -all
